[19/04/2021|20:53:34]  84  | Рак узкопалый | 45 гр | 45 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:54:00]  66  | Окунь | 154 гр | 154 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:54:34]  38  | Карась золотой | 109 гр | 109 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:54:53]  84  | Рак узкопалый | 30 гр | 30 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:55:07]  30  | Ёрш | 32 гр | 32 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:55:34]  84  | Рак узкопалый | 40 гр | 40 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:56:02]  47  | Красноперка | 223 гр | 223 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:56:38]  16  | Вьюн | 35 гр | 35 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:57:04]  30  | Ёрш | 107 гр | 107 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|20:57:18]  30  | Ёрш | 138 гр | 138 | Поймана "Убежище:Затон" на Червь (Поплавок)
[19/04/2021|21:23:53]  85  | Обглоданный ботинок | 980 гр | 980 | Поймана "Убежище:Мост" на Тесто (Поплавок)
[19/04/2021|21:24:14]  38  | Карась золотой | 220 гр | 220 | Поймана "Убежище:Мост" на Тесто (Поплавок)
[19/04/2021|21:25:25]  87  | Ротан | 24 гр | 24 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:26:44]  87  | Ротан | 94 гр | 94 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:28:15]  84  | Рак узкопалый | 55 гр | 55 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:29:11]  30  | Ёрш | 37 гр | 37 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:31:01]  10  | Бычок | 91 гр | 91 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:31:38]  87  | Ротан | 41 гр | 41 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:31:43]  75  | Пескарь | 46 гр | 46 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:32:42]  30  | Ёрш | 23 гр | 23 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:32:59]  84  | Рак узкопалый | 57 гр | 57 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:33:10]  66  | Окунь | 317 гр | 317 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:34:37]  87  | Ротан | 162 гр | 162 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:35:54]  56  | Моллюск | 13 гр | 13 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:36:07]  40  | Колюшка | 5 гр | 5 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:36:33]  47  | Красноперка | 545 гр | 545 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:36:52]  87  | Ротан | 30 гр | 30 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:37:10]  87  | Ротан | 20 гр | 20 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:37:48]  16  | Вьюн | 121 гр | 121 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:38:17]  75  | Пескарь | 31 гр | 31 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:38:39]  87  | Ротан | 24 гр | 24 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:38:56]  40  | Колюшка | 33 гр | 33 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:39:11]  10  | Бычок | 14 гр | 14 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:39:41]  16  | Вьюн | 33 гр | 33 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:40:56]  87  | Ротан | 127 гр | 127 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:41:22]  10  | Бычок | 15 гр | 15 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:41:37]  75  | Пескарь | 58 гр | 58 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:41:49]  10  | Бычок | 57 гр | 57 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:42:04]  87  | Ротан | 126 гр | 126 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:42:15]  84  | Рак узкопалый | 40 гр | 40 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:42:33]  87  | Ротан | 22 гр | 22 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:42:52]  75  | Пескарь | 55 гр | 55 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:43:06]  75  | Пескарь | 21 гр | 21 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:43:20]  87  | Ротан | 134 гр | 134 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:43:58]  56  | Моллюск | 154 гр | 154 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:44:33]  87  | Ротан | 105 гр | 105 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:45:06]  16  | Вьюн | 109 гр | 109 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:45:31]  75  | Пескарь | 39 гр | 39 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:45:48]  30  | Ёрш | 32 гр | 32 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:45:59]  40  | Колюшка | 6 гр | 6 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:46:17]  16  | Вьюн | 69 гр | 69 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:46:42]  87  | Ротан | 160 гр | 160 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:47:07]  66  | Окунь | 283 гр | 283 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:47:23]  87  | Ротан | 72 гр | 72 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:47:35]  10  | Бычок | 19 гр | 19 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:47:58]  87  | Ротан | 27 гр | 27 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:48:22]  87  | Ротан | 136 гр | 136 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:48:34]  87  | Ротан | 21 гр | 21 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:48:43]  10  | Бычок | 16 гр | 16 | Поймана "Убежище:Мост" на Мотыль (Поплавок)
[19/04/2021|21:48:55]  87  | Ротан | 66 гр | 66 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:49:10]  75  | Пескарь | 53 гр | 53 | Поймана "Убежище:Мост" на Мотыль (Поплавок)
[19/04/2021|21:49:18]  87  | Ротан | 60 гр | 60 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:49:33]  84  | Рак узкопалый | 62 гр | 62 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:49:54]  16  | Вьюн | 20 гр | 20 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:50:04]  75  | Пескарь | 56 гр | 56 | Поймана "Убежище:Мост" на Мотыль (Поплавок)
[19/04/2021|21:50:16]  87  | Ротан | 28 гр | 28 | Поймана "Убежище:Мост" на Мотыль (Поплавок)
[19/04/2021|21:50:38]  84  | Рак узкопалый | 52 гр | 52 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:50:48]  10  | Бычок | 12 гр | 12 | Поймана "Убежище:Мост" на Мотыль (Поплавок)
[19/04/2021|21:50:57]  87  | Ротан | 29 гр | 29 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:51:10]  40  | Колюшка | 15 гр | 15 | Поймана "Убежище:Мост" на Мотыль (Поплавок)
[19/04/2021|21:51:23]  84  | Рак узкопалый | 54 гр | 54 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:51:34]  75  | Пескарь | 58 гр | 58 | Поймана "Убежище:Мост" на Мотыль (Поплавок)
[19/04/2021|21:51:44]  87  | Ротан | 25 гр | 25 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:52:00]  87  | Ротан | 140 гр | 140 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:52:25]  75  | Пескарь | 22 гр | 22 | Поймана "Убежище:Мост" на Мотыль (Поплавок)
[19/04/2021|21:52:49]  87  | Ротан | 28 гр | 28 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:53:16]  40  | Колюшка | 6 гр | 6 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:53:40]  16  | Вьюн | 29 гр | 29 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:54:00]  30  | Ёрш | 140 гр | 140 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:54:18]  75  | Пескарь | 21 гр | 21 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:54:33]  40  | Колюшка | 6 гр | 6 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:54:46]  40  | Колюшка | 6 гр | 6 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:55:15]  37  | Карась | 1.411 кг | 1411 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:55:35]  75  | Пескарь | 23 гр | 23 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:55:49]  30  | Ёрш | 131 гр | 131 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:56:02]  75  | Пескарь | 59 гр | 59 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|21:56:15]  84  | Рак узкопалый | 44 гр | 44 | Поймана "Убежище:Мост" на Червь (Поплавок)
[19/04/2021|22:04:02]  129  | Язь | 249 гр | 249 | Поймана "Убежище:Источник" на Червь (Поплавок)
[19/04/2021|22:10:08]  16  | Вьюн | 29 гр | 29 | Поймана "Убежище:Источник" на Червь (Поплавок)
[19/04/2021|22:10:47]  38  | Карась золотой | 692 гр | 692 | Поймана "Убежище:Источник" на Червь (Поплавок)
[19/04/2021|22:11:11]  66  | Окунь | 1.385 кг | 1385 | Поймана "Убежище:Источник" на Червь (Поплавок)
[19/04/2021|22:12:21]  87  | Ротан | 138 гр | 138 | Поймана "Убежище:Источник" на Червь (Поплавок)
[19/04/2021|22:12:42]  16  | Вьюн | 28 гр | 28 | Поймана "Убежище:Источник" на Червь (Поплавок)
